code,time,label_3p_15d,label_5p_30d,label_10p_60d,open_klu_rate,open_klu_amp,chan_divergence_rate,macd_dif,macd_dea,macd_hist,boll_pos,boll_width,roc_10,ma20_dist,ma60_dist,volatility_atr,bi_macd_area,bi_macd_peak,bi_slope,bi_amp_norm,bi_macd_area_ratio,bi_amp_ratio
HK.00700,2024/01/17 10:00,0,0,0,-0.0037160906726124115,0.017273751408186128,1.258364508971106,-2.2392520738380313,-1.5449130112850609,-1.3886781251059408,-0.06361540313384462,0.05849347893486614,-0.03387387387387379,-0.032967825710575625,-0.03550742885922923,0.008867338692530502,0.049228663344201784,2.1908284506944673,0.0031161563165760385,0.06855543894069403,0.02327354492866947,1.1529411696885792
HK.00700,2024/01/17 10:30,0,0,0,-0.005221932114882633,0.01512287334977358,1.258364508971106,-2.7007787145477664,-1.776086151937602,-1.8493851252203286,-0.04143592527349803,0.06539675433558159,-0.03404563563926126,-0.03540815219356946,-0.03994528372070669,0.010274860808277214,0.049228663344201784,2.1908284506944673,0.003254406375138764,0.07485134660201061,0.02327354492866947,1.258823522065742
HK.00700,2024/01/17 11:00,0,0,0,-0.005221932114882633,0.01512287334977358,1.258364508971106,-2.7007787145477664,-1.776086151937602,-1.8493851252203286,-0.04143592527349803,0.06539675433558159,-0.03404563563926126,-0.03540815219356946,-0.03994528372070669,0.010274860808277214,0.049228663344201784,2.1908284506944673,0.003254406375138764,0.07485134660201061,0.02327354492866947,1.258823522065742
HK.00700,2024/01/17 11:30,0,0,0,-0.005221932114882633,0.01512287334977358,1.258364508971106,-2.7007787145477664,-1.776086151937602,-1.8493851252203286,-0.04143592527349803,0.06539675433558159,-0.03404563563926126,-0.03540815219356946,-0.03994528372070669,0.010274860808277214,0.049228663344201784,2.1908284506944673,0.003254406375138764,0.07485134660201061,0.02327354492866947,1.258823522065742
HK.00700,2024/01/17 12:00,0,0,0,-0.005221932114882633,0.01512287334977358,1.258364508971106,-2.7007787145477664,-1.776086151937602,-1.8493851252203286,-0.04143592527349803,0.06539675433558159,-0.03404563563926126,-0.03540815219356946,-0.03994528372070669,0.010274860808277214,0.049228663344201784,2.1908284506944673,0.003254406375138764,0.07485134660201061,0.02327354492866947,1.258823522065742
HK.00700,2024/01/17 13:30,0,0,0,-0.005221932114882633,0.01512287334977358,1.258364508971106,-2.7007787145477664,-1.776086151937602,-1.8493851252203286,-0.04143592527349803,0.06539675433558159,-0.03404563563926126,-0.03540815219356946,-0.03994528372070669,0.010274860808277214,0.049228663344201784,2.1908284506944673,0.003254406375138764,0.07485134660201061,0.02327354492866947,1.258823522065742
HK.00700,2024/01/17 14:00,0,0,0,-0.005221932114882633,0.01512287334977358,1.258364508971106,-2.7007787145477664,-1.776086151937602,-1.8493851252203286,-0.04143592527349803,0.06539675433558159,-0.03404563563926126,-0.03540815219356946,-0.03994528372070669,0.010274860808277214,0.049228663344201784,2.1908284506944673,0.003254406375138764,0.07485134660201061,0.02327354492866947,1.258823522065742
HK.00700,2024/01/17 14:30,1,0,0,-0.0030041306834397326,0.0075614366729964515,1.258364508971106,-3.6217587904783954,-3.0351026461295527,-1.1733122886976854,0.1698928166557231,0.07152187669677434,-0.036297640656987255,-0.023609885263868653,-0.04111238187317386,0.005429996459102849,0.049228663344201784,2.1908284506944673,0.002581080918213502,0.07485134660201061,0.02327354492866947,1.258823522065742
HK.00700,2024/01/17 15:30,1,0,0,-0.001506591333338962,0.005297010972379785,1.258364508971106,-3.6012538070484084,-3.2411920185810943,-0.7201235769346281,0.1908096605067784,0.06351054752078245,-0.034244080145719405,-0.0196368477493507,-0.04174950298199162,0.005738613864955336,0.049228663344201784,2.1908284506944673,0.0024371255458145715,0.07555089189382608,0.02327354492866947,1.270588227820067
HK.00700,2024/01/17 16:00,0,0,0,-0.001506591333338962,0.005297010972379785,1.258364508971106,-3.6012538070484084,-3.2411920185810943,-0.7201235769346281,0.1908096605067784,0.06351054752078245,-0.034244080145719405,-0.0196368477493507,-0.04174950298199162,0.005738613864955336,0.049228663344201784,2.1908284506944673,0.0024371255458145715,0.07555089189382608,0.02327354492866947,1.270588227820067
HK.00700,2024/01/18 10:00,0,0,0,-0.001506591333338962,0.005297010972379785,1.258364508971106,-3.6012538070484084,-3.2411920185810943,-0.7201235769346281,0.1908096605067784,0.06351054752078245,-0.034244080145719405,-0.0196368477493507,-0.04174950298199162,0.005738613864955336,0.049228663344201784,2.1908284506944673,0.0024371255458145715,0.07555089189382608,0.02327354492866947,1.270588227820067
HK.00700,2024/01/18 10:30,1,0,0,-0.00821815465446387,0.01362088535754811,1.258364508971106,-3.085519301550846,-3.2178728451615832,0.26470708722147407,0.2639049643318106,0.05604204891957838,-0.005245410269763832,-0.013231249538586065,-0.03966722932584492,0.01121011704231322,0.049228663344201784,2.1908284506944673,0.0022220850564779915,0.07555089189382608,0.02327354492866947,1.270588227820067
HK.00700,2024/01/18 11:00,1,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 11:30,1,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 12:00,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 13:30,1,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 14:00,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 14:30,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 15:00,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 15:30,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/18 16:00,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/19 10:00,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/19 10:30,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/19 11:00,0,0,0,-0.001507727101394776,0.012913026965438576,1.258364508971106,-3.050959569745487,-3.184490190078364,0.267061240665754,0.2497031952694228,0.055328550108583764,-0.0052572286894481185,-0.013848559302554147,-0.04151389424915119,0.012582892566965348,0.049228663344201784,2.1908284506944673,0.002258531954229747,0.0790486183703921,0.02327354492866947,1.329411756885811
HK.00700,2024/01/19 14:00,0,0,0,-0.008323874385168326,0.011446012972148034,0.25617797125447267,-1.4573602108456498,-1.1767392041040072,-0.5612420134832852,0.0026556878744226726,0.03793450830935189,-0.022379709063782168,-0.018866511940936612,-0.04117941151341777,0.010580838902475336,7.334075689607924,0.5612420134832852,0.006552602839461213,0.04586821985953092,0.6163296217136837,1.1052631481994453
HK.00700,2024/01/19 14:30,0,0,0,-0.0015261350629532013,0.0084388185654008,0.41227678208858615,-1.7412565447215798,-1.2896426722275218,-0.9032277449881159,0.02400207637502381,0.04147086514016829,-0.028221314519123738,-0.019740045697651303,-0.04136853158783929,0.010776622011303352,7.334075689607924,0.9032277449881159,0.006370586093920641,0.05096468873281227,0.6163296217136837,1.2280701646660537
HK.00700,2024/01/19 15:00,0,0,0,-0.004585403137179893,0.008451786396465613,0.5476816640863729,-2.039565563710198,-1.439627250524057,-1.1998766263722822,0.004369439987423715,0.04660846077984477,-0.03625601184239734,-0.023100577517638242,-0.04446916992035563,0.009757156181827169,7.334075689607924,1.1998766263722822,0.005824535857298863,0.05242082269660683,0.6163296217136837,1.2631578836565105
HK.00700,2024/01/19 15:30,0,0,0,-0.004585403137179893,0.008451786396465613,0.5476816640863729,-2.039565563710198,-1.439627250524057,-1.1998766263722822,0.004369439987423715,0.04660846077984477,-0.03625601184239734,-0.023100577517638242,-0.04446916992035563,0.009757156181827169,7.334075689607924,1.1998766263722822,0.005824535857298863,0.05242082269660683,0.6163296217136837,1.2631578836565105
HK.00700,2024/01/19 16:00,0,0,0,-0.004585403137179893,0.008451786396465613,0.5476816640863729,-2.039565563710198,-1.439627250524057,-1.1998766263722822,0.004369439987423715,0.04660846077984477,-0.03625601184239734,-0.023100577517638242,-0.04446916992035563,0.009757156181827169,7.334075689607924,1.1998766263722822,0.005824535857298863,0.05242082269660683,0.6163296217136837,1.2631578836565105
HK.00700,2024/01/22 10:00,1,1,1,-0.01903311762466692,0.02487368830159338,0.5677092052787475,-2.4567874829739367,-1.8349107152655637,-1.243753535416746,-0.038184426688363075,0.0572335614205593,-0.04520192663949607,-0.03080221144045692,-0.051073388076448,0.012489578770053985,7.334075689607924,1.243753535416746,0.005278485620677096,0.0633418274250666,0.6163296217136837,1.5263157760849504
HK.00700,2024/01/22 10:30,1,1,1,-0.0062087698874659135,0.012504884720594049,0.7426914135883489,-2.8518541860436812,-2.0382994094211875,-1.6271095532449875,-0.03348940396619318,0.06575164172131477,-0.04547148714125974,-0.035077804151703106,-0.0554927222656423,0.013302792001092634,7.334075689607924,1.6271095532449875,0.005264484332558591,0.06843829629834784,0.6163296217136837,1.6491227925515564
HK.00700,2024/01/22 11:00,1,1,1,-0.0015618898867631162,0.007827788649737094,0.8197731694408233,-3.160788449861343,-2.2627972175092186,-1.7959824647042488,0.026459416081123004,0.07280251653665674,-0.03763643206624012,-0.03447494619153214,-0.05555145157686847,0.013177992451746931,7.334075689607924,1.7959824647042488,0.004992459306516194,0.06989443026578279,0.6163296217136837,1.684210511629734
HK.00700,2024/01/22 11:30,1,1,1,-0.0046929996128274466,0.007864726700747149,0.8761907806762538,-3.462537078859725,-2.50274518977932,-1.9195837781608107,0.04059697111280471,0.08031483390323549,-0.04143126177040087,-0.036896877959718334,-0.05852323172871355,0.012601225698989835,7.334075689607924,1.9195837781608107,0.004950855478704035,0.07426283215352637,0.6163296217136837,1.7894736685133905
HK.00700,2024/01/22 15:00,1,1,1,-0.0007877116975187753,0.008719778038049937,0.8761907806762538,-3.718994218443356,-3.2723673496398904,-0.8932537376069316,0.18780221555223722,0.08708141635719618,-0.03130966017563951,-0.027186625253289763,-0.053464164458790354,0.00835481536712616,7.334075689607924,1.9195837781608107,0.004077175100109206,0.08154350197249954,0.6163296217136837,1.964912263465684
HK.00700,2024/01/22 15:30,1,1,1,-0.0007877116975187753,0.008719778038049937,0.8761907806762538,-3.718994218443356,-3.2723673496398904,-0.8932537376069316,0.18780221555223722,0.08708141635719618,-0.03130966017563951,-0.027186625253289763,-0.053464164458790354,0.00835481536712616,7.334075689607924,1.9195837781608107,0.004077175100109206,0.08154350197249954,0.6163296217136837,1.964912263465684
HK.00700,2024/01/22 16:00,1,1,1,-0.0007877116975187753,0.008719778038049937,0.8761907806762538,-3.718994218443356,-3.2723673496398904,-0.8932537376069316,0.18780221555223722,0.08708141635719618,-0.03130966017563951,-0.027186625253289763,-0.053464164458790354,0.00835481536712616,7.334075689607924,1.9195837781608107,0.004077175100109206,0.08154350197249954,0.6163296217136837,1.964912263465684
HK.00700,2024/01/23 10:00,1,1,0,-0.0007877116975187753,0.008719778038049937,0.8761907806762538,-3.718994218443356,-3.2723673496398904,-0.8932537376069316,0.18780221555223722,0.08708141635719618,-0.03130966017563951,-0.027186625253289763,-0.053464164458790354,0.00835481536712616,7.334075689607924,1.9195837781608107,0.004077175100109206,0.08154350197249954,0.6163296217136837,1.964912263465684
HK.00700,2024/01/23 10:30,0,1,0,-0.0007877116975187753,0.008719778038049937,0.8761907806762538,-3.718994218443356,-3.2723673496398904,-0.8932537376069316,0.18780221555223722,0.08708141635719618,-0.03130966017563951,-0.027186625253289763,-0.053464164458790354,0.00835481536712616,7.334075689607924,1.9195837781608107,0.004077175100109206,0.08154350197249954,0.6163296217136837,1.964912263465684
HK.00700,2024/01/23 11:00,1,1,0,-0.0007877116975187753,0.008719778038049937,0.8761907806762538,-3.718994218443356,-3.2723673496398904,-0.8932537376069316,0.18780221555223722,0.08708141635719618,-0.03130966017563951,-0.027186625253289763,-0.053464164458790354,0.00835481536712616,7.334075689607924,1.9195837781608107,0.004077175100109206,0.08154350197249954,0.6163296217136837,1.964912263465684
HK.00700,2024/01/23 11:30,0,1,0,-0.0007877116975187753,0.008719778038049937,0.8761907806762538,-3.718994218443356,-3.2723673496398904,-0.8932537376069316,0.18780221555223722,0.08708141635719618,-0.03130966017563951,-0.027186625253289763,-0.053464164458790354,0.00835481536712616,7.334075689607924,1.9195837781608107,0.004077175100109206,0.08154350197249954,0.6163296217136837,1.964912263465684
US.TSLA,2024/04/05,1,1,0,-0.02472202507688672,0.06448196374057706,1.2290971098312273e-08,-4.9524522318141635,-5.2149218621914235,0.52493926075452,0.12794965949606027,0.11303848518029785,-0.04582802916329121,-0.04205600690137952,-0.1264648312480852,0.0435080689933182,15.415183867215784,1e-07,0.016105834464043425,0.12884667564241706,4.533122610224663,0.9999999957877
US.TSLA,2024/04/08,1,0,0,-0.02472202507688672,0.06448196374057706,1.2290971098312273e-08,-4.9524522318141635,-5.2149218621914235,0.52493926075452,0.12794965949606027,0.11303848518029785,-0.04582802916329121,-0.04205600690137952,-0.1264648312480852,0.0435080689933182,15.415183867215784,1e-07,0.016105834464043425,0.12884667564241706,4.533122610224663,0.9999999957877
US.TSLA,2024/04/09,0,0,0,-0.02472202507688672,0.06448196374057706,1.2290971098312273e-08,-4.9524522318141635,-5.2149218621914235,0.52493926075452,0.12794965949606027,0.11303848518029785,-0.04582802916329121,-0.04205600690137952,-0.1264648312480852,0.0435080689933182,15.415183867215784,1e-07,0.016105834464043425,0.12884667564241706,4.533122610224663,0.9999999957877
US.TSLA,2024/04/10,0,0,0,-0.02472202507688672,0.06448196374057706,1.2290971098312273e-08,-4.9524522318141635,-5.2149218621914235,0.52493926075452,0.12794965949606027,0.11303848518029785,-0.04582802916329121,-0.04205600690137952,-0.1264648312480852,0.0435080689933182,15.415183867215784,1e-07,0.016105834464043425,0.12884667564241706,4.533122610224663,0.9999999957877
US.TSLA,2024/04/11,0,0,0,-0.02472202507688672,0.06448196374057706,1.2290971098312273e-08,-4.9524522318141635,-5.2149218621914235,0.52493926075452,0.12794965949606027,0.11303848518029785,-0.04582802916329121,-0.04205600690137952,-0.1264648312480852,0.0435080689933182,15.415183867215784,1e-07,0.016105834464043425,0.12884667564241706,4.533122610224663,0.9999999957877
US.TSLA,2024/04/12,0,0,0,-0.02472202507688672,0.06448196374057706,1.2290971098312273e-08,-4.9524522318141635,-5.2149218621914235,0.52493926075452,0.12794965949606027,0.11303848518029785,-0.04582802916329121,-0.04205600690137952,-0.1264648312480852,0.0435080689933182,15.415183867215784,1e-07,0.016105834464043425,0.12884667564241706,4.533122610224663,0.9999999957877
US.TSLA,2024/04/15,0,0,0,-0.02472202507688672,0.06448196374057706,1.2290971098312273e-08,-4.9524522318141635,-5.2149218621914235,0.52493926075452,0.12794965949606027,0.11303848518029785,-0.04582802916329121,-0.04205600690137952,-0.1264648312480852,0.0435080689933182,15.415183867215784,1e-07,0.016105834464043425,0.12884667564241706,4.533122610224663,0.9999999957877
US.TSLA,2024/04/16,0,0,0,0.0023605971672834283,0.02887804878048779,0.11004827172746816,-4.512447434105383,-4.064768113866076,-0.895358640478614,-0.16145531286726322,0.12630634367215615,-0.05713256916521624,-0.08354600207078597,-0.14090189534543548,0.03589899135873091,25.511772494297166,0.895358640478614,0.011035730438715512,0.1655359564908896,7.502212994472307,1.2847514688932113
US.TSLA,2024/04/17,0,0,0,0.0023605971672834283,0.02887804878048779,0.11004827172746816,-4.512447434105383,-4.064768113866076,-0.895358640478614,-0.16145531286726322,0.12630634367215615,-0.05713256916521624,-0.08354600207078597,-0.14090189534543548,0.03589899135873091,25.511772494297166,0.895358640478614,0.011035730438715512,0.1655359564908896,7.502212994472307,1.2847514688932113
US.TSLA,2024/04/18,0,0,0,-0.008727272727272683,0.023537323470073975,0.37141934709318086,-6.188220507484971,-4.6772766442121085,-3.0218877265457245,-0.1270017848272027,0.1829130708092677,-0.12378002454561396,-0.11468682186563535,-0.1716658486884571,0.03198885041141855,25.511772494297166,3.0218877265457245,0.011349668768457182,0.19294436895905331,7.502212994472307,1.4974726137427437
US.TSLA,2024/04/19,0,0,0,-0.012888501040477864,0.03228012583777868,0.47475534749039566,-7.091423498908085,-5.160106015151304,-3.8626349675135625,-0.07810673130728868,0.21628480333156913,-0.10824742268041233,-0.1250357006854532,-0.18300487159851578,0.034394629042228585,25.511772494297166,3.8626349675135625,0.011466907884818333,0.20640434181470593,7.502212994472307,1.6019376512134043
US.TSLA,2024/04/22,1,1,1,0.010600455321570924,0.04061526269339521,0.5815107414060966,-8.117107626103888,-5.751506337341821,-4.731202577524133,-0.07550478714903587,0.2562739268400485,-0.1788067984738119,-0.14748687171792957,-0.2078075984663645,0.030979696700501137,25.511772494297166,4.731202577524133,0.012982218096122256,0.24666214369244926,7.502212994472307,1.914384996148335
US.TSLA,2024/04/23,1,1,1,0.010600455321570924,0.04061526269339521,0.5815107414060966,-8.117107626103888,-5.751506337341821,-4.731202577524133,-0.07550478714903587,0.2562739268400485,-0.1788067984738119,-0.14748687171792957,-0.2078075984663645,0.030979696700501137,25.511772494297166,4.731202577524133,0.012982218096122256,0.24666214369244926,7.502212994472307,1.914384996148335
US.TSLA,2024/04/24,1,1,1,0.010600455321570924,0.04061526269339521,0.5815107414060966,-8.117107626103888,-5.751506337341821,-4.731202577524133,-0.07550478714903587,0.2562739268400485,-0.1788067984738119,-0.14748687171792957,-0.2078075984663645,0.030979696700501137,25.511772494297166,4.731202577524133,0.012982218096122256,0.24666214369244926,7.502212994472307,1.914384996148335
US.TSLA,2024/04/25,1,1,1,0.010600455321570924,0.04061526269339521,0.5815107414060966,-8.117107626103888,-5.751506337341821,-4.731202577524133,-0.07550478714903587,0.2562739268400485,-0.1788067984738119,-0.14748687171792957,-0.2078075984663645,0.030979696700501137,25.511772494297166,4.731202577524133,0.012982218096122256,0.24666214369244926,7.502212994472307,1.914384996148335
US.TSLA,2024/04/26,1,1,1,0.010600455321570924,0.04061526269339521,0.5815107414060966,-8.117107626103888,-5.751506337341821,-4.731202577524133,-0.07550478714903587,0.2562739268400485,-0.1788067984738119,-0.14748687171792957,-0.2078075984663645,0.030979696700501137,25.511772494297166,4.731202577524133,0.012982218096122256,0.24666214369244926,7.502212994472307,1.914384996148335
US.TSLA,2024/04/29,0,0,0,0.010600455321570924,0.04061526269339521,0.5815107414060966,-8.117107626103888,-5.751506337341821,-4.731202577524133,-0.07550478714903587,0.2562739268400485,-0.1788067984738119,-0.14748687171792957,-0.2078075984663645,0.030979696700501137,25.511772494297166,4.731202577524133,0.012982218096122256,0.24666214369244926,7.502212994472307,1.914384996148335
